len;duration;threads
65536;1674678996;1
65536;1748494019;1
65536;1700636069;1
65536;1708352500;1
65536;1676287720;1
98304;1889734823;1
98304;1890627279;1
98304;1867443442;1
98304;1869815919;1
98304;1881720094;1
98304;1873660442;1
98304;1891986980;1
98304;1854052531;1
98304;1838297404;1
98304;1867334922;1
131072;2049595745;1
131072;2075103110;1
131072;2063895183;1
131072;2061875123;1
131072;2063479289;1
131072;2021780071;1
131072;2052937379;1
131072;2054704469;1
131072;2038493450;1
131072;2050775636;1
196608;2237442954;1
196608;2229545533;1
196608;2215518922;1
196608;2317926515;1
196608;2193665040;1
196608;2179910808;1
196608;2214106813;1
196608;2246461304;1
196608;2135690186;1
196608;2286540935;1
262144;3076838584;1
262144;2539866700;1
262144;2768844403;1
262144;2575845054;1
262144;2617960858;1
262144;2726066001;1
262144;2648406862;1
262144;2624063844;1
262144;2588951010;1
262144;2530119305;1
524288;5188962079;1
524288;4711897382;1
524288;4305714927;1
524288;3986142254;1
524288;4440786257;1
524288;4768729943;1
524288;4730697797;1
524288;3870704307;1
524288;4290333010;1
524288;4106531659;1
786432;7579064619;1
786432;7180640384;1
786432;7295617028;1
786432;6975517459;1
786432;7104674890;1
786432;6531027266;1
786432;6916524539;1
786432;6212437177;1
786432;6437352827;1
786432;6954161747;1
1048576;10857645391;1
1048576;10935090419;1
1048576;10091064743;1
1048576;9530692510;1
1048576;10556444463;1
1048576;9696136642;1
1048576;10056978480;1
1048576;10130966558;1
1048576;9929598801;1
1048576;9666513840;1
1572864;14632716722;1
1572864;17144570768;1
1572864;15830992969;1
1572864;16013840300;1
1572864;14612406257;1
1572864;14052536384;1
1572864;15346436653;1
1572864;15440928759;1
1572864;14458992357;1
1572864;13430381070;1
2097152;19465738535;1
2097152;19788691091;1
2097152;18078514861;1
2097152;17705750741;1
2097152;18475198659;1
2097152;16243495654;1
2097152;15775170825;1
2097152;17771362843;1
2097152;16355771736;1
2097152;16371870370;1
4194304;22762151216;1
4194304;21881624237;1
4194304;21445704234;1
4194304;21194455617;1
4194304;20002814829;1
4194304;19862116913;1
4194304;19708926482;1
4194304;18798866383;1
4194304;19454018401;1
4194304;19283177622;1
8388608;24695763602;1
8388608;24207474539;1
8388608;23439064668;1
8388608;23244175101;1
8388608;22429361380;1
8388608;21900755260;1
8388608;21941041148;1
8388608;23511906058;1
8388608;24573094901;1
8388608;24621374321;1
16777216;27524118585;1
16777216;27538705092;1
16777216;26143391533;1
16777216;26161793226;1
16777216;24850721488;1
16777216;25625103976;1
16777216;25696628349;1
16777216;25708241793;1
16777216;24418454562;1
16777216;25559912000;1
33554432;28661282525;1
33554432;29126369277;1
33554432;28734019668;1
33554432;28734630508;1
33554432;29479123264;1
33554432;28099766372;1
33554432;29242053034;1
33554432;28505962416;1
33554432;29027300104;1
33554432;29199252985;1
63;949151287;2
63;951339844;2
63;927721029;2
63;973117473;2
63;952314739;2
63;955146241;2
63;969736735;2
63;871639486;2
63;857105062;2
63;943612183;2
128;714988648;2
128;724139730;2
128;735514893;2
128;753417156;2
128;754745973;2
128;783705933;2
128;729860392;2
128;763976888;2
128;751611003;2
128;733682007;2
256;761655803;2
256;787720134;2
256;744848714;2
256;782804891;2
256;721331218;2
256;768781983;2
256;806150431;2
256;731355754;2
256;743233806;2
256;744764079;2
512;736897868;2
512;693436036;2
512;749746420;2
512;684487915;2
512;741116374;2
512;725271404;2
512;701772095;2
512;690372356;2
512;712676961;2
512;679650391;2
1024;726829550;2
1024;699470297;2
1024;696458659;2
1024;777195069;2
1024;706035482;2
1024;710110514;2
1024;814007039;2
1024;757732260;2
1024;740395590;2
1024;806009359;2
2048;827369263;2
2048;933662964;2
2048;884048096;2
2048;907619630;2
2048;889521851;2
2048;849171346;2
2048;837129679;2
2048;854743246;2
2048;719659424;2
2048;853306275;2
2560;874964600;2
2560;830504151;2
2560;873093913;2
2560;857002035;2
2560;847016073;2
2560;846393352;2
2560;840164673;2
2560;846900514;2
2560;883651612;2
2560;863176392;2
3072;790206991;2
3072;800408977;2
3072;841515707;2
3072;868842448;2
3072;854735556;2
3072;848487793;2
3072;838265951;2
3072;847368653;2
3072;787332154;2
3072;805566895;2
4096;837108358;2
4096;847074951;2
4096;759468751;2
4096;788414144;2
4096;792978231;2
4096;800393352;2
4096;789750570;2
4096;809074422;2
4096;849886760;2
4096;822936646;2
6144;781768026;2
6144;806373698;2
