len;duration;threads
24576;767890341;1
24576;780454672;1
24576;763597250;1
24576;783486817;1
24576;762784221;1
24576;771023519;1
32768;1056647096;1
32768;1072722372;1
32768;1059832438;1
32768;1074297730;1
32768;1060000936;1
32768;1050647502;1
32768;1102550619;1
32768;1059406495;1
32768;1060034912;1
32768;1088764812;1
49152;1467516032;1
49152;1464905112;1
49152;1478863689;1
49152;1455522787;1
49152;1437778484;1
49152;1442422404;1
49152;1470352051;1
49152;1465157309;1
49152;1455010173;1
49152;1461155153;1
65536;1649543743;1
65536;1627062135;1
65536;1617902588;1
65536;1639694581;1
65536;1633212769;1
65536;1651426230;1
65536;1659733969;1
65536;1626604778;1
65536;1647556194;1
65536;1684981039;1
98304;1839601726;1
98304;1803469809;1
98304;1850517213;1
98304;1867407471;1
98304;1906159954;1
98304;1882118002;1
98304;2044305095;1
98304;2059359294;1
98304;1851331503;1
98304;1826749390;1
131072;1971007285;1
131072;1959638307;1
131072;1992787436;1
131072;2229166383;1
131072;2096862753;1
131072;2055530681;1
131072;2131797771;1
131072;1969827801;1
131072;2110805543;1
131072;2061269614;1
196608;2244734864;1
196608;2197262126;1
196608;2323198528;1
196608;2571886598;1
196608;2263504396;1
196608;2424582887;1
196608;2652183229;1
196608;2594602052;1
196608;2206132935;1
196608;2403589885;1
262144;3021192140;1
262144;2682839479;1
262144;2695544435;1
262144;2834928061;1
262144;2981636476;1
262144;2845591025;1
262144;2630651532;1
262144;2650511313;1
262144;2674628501;1
262144;2824579225;1
524288;5091270999;1
524288;4357736086;1
524288;5216678958;1
524288;4466873700;1
524288;4857984418;1
524288;4741284264;1
524288;5074610476;1
524288;4820440392;1
524288;6076768069;1
524288;3971322267;1
786432;8373524174;1
786432;7426519575;1
786432;7117120609;1
786432;7329724654;1
786432;7374484094;1
786432;6168635705;1
786432;5838071292;1
786432;5751239016;1
786432;6695268151;1
786432;6895323286;1
1048576;10484608403;1
1048576;9555778203;1
1048576;9438236252;1
1048576;9283628382;1
1048576;8484556808;1
1048576;8815977259;1
1048576;9114390630;1
1048576;7638259770;1
1048576;12025425380;1
1048576;10993688726;1
1572864;15844818164;1
1572864;16383047331;1
1572864;14882181892;1
1572864;13575111701;1
1572864;14070872972;1
1572864;18125871266;1
1572864;18275088754;1
1572864;18616657602;1
1572864;16082424527;1
1572864;16760562467;1
2097152;19505131480;1
2097152;19839245249;1
2097152;18428836232;1
2097152;19004795297;1
2097152;17239171070;1
2097152;20228085785;1
2097152;22236290498;1
2097152;20894867808;1
2097152;19884598154;1
2097152;20695999359;1
4194304;23463716117;1
4194304;22078616547;1
4194304;23543968436;1
4194304;24881340344;1
4194304;24620477063;1
4194304;26085968030;1
4194304;24508254488;1
4194304;24607083101;1
4194304;25129309460;1
4194304;24971596733;1
8388608;25667512260;1
8388608;27726786146;1
8388608;27803708184;1
8388608;28233091566;1
8388608;27373139824;1
8388608;28164458632;1
8388608;28259881850;1
8388608;27769462294;1
8388608;27240242160;1
8388608;27712332167;1
16777216;28838381280;1
16777216;29581866470;1
16777216;29121966119;1
16777216;30206554255;1
16777216;28828843113;1
16777216;29032051691;1
16777216;28310458917;1
16777216;28233006687;1
16777216;28122900201;1
16777216;26706754164;1
33554432;33745089698;1
33554432;32006748144;1
33554432;31547564753;1
33554432;32518443823;1
33554432;30121925023;1
33554432;29837731907;1
33554432;31506605281;1
33554432;31429954320;1
33554432;31362583470;1
33554432;32099983130;1
64;178916626;2
64;187510213;2
64;186413900;2
64;184113281;2
64;183953410;2
64;174362101;2
64;182559612;2
64;181905070;2
64;204576945;2
64;175342366;2
128;180045532;2
128;179031657;2
128;182126912;2
128;184516195;2
128;194542643;2
128;179726766;2
128;182699667;2
128;181870402;2
128;182601603;2
128;174848185;2
256;179510539;2
256;182618938;2
256;183440999;2
