len;duration;threads
64;187642579;2
64;187946980;2
64;187617513;2
64;187408407;2
64;197359457;2
64;181306966;2
64;177656453;2
64;187298747;2
128;179550944;2
128;180183553;2
128;183860474;2
128;185320597;2
128;185849854;2
128;187662760;2
128;186991536;2
128;183641846;2
128;187060384;2
128;183049072;2
256;181486897;2
256;176297649;2
256;180909587;2
256;182860393;2
256;179327311;2
256;180559082;2
256;187038778;2
256;181658244;2
256;182059489;2
256;172787598;2
512;177869425;2
512;178447917;2
512;182826864;2
512;182623739;2
512;183248780;2
512;183303426;2
512;183918945;2
512;187421997;2
512;176937663;2
512;180063477;2
1024;172633179;2
1024;190576172;2
1024;185661010;2
1024;179673177;2
1024;180640992;2
1024;183509643;2
1024;183050578;2
1024;182076213;2
1024;181107747;2
1024;181514648;2
2048;180501424;2
2048;183652914;2
2048;173678304;2
2048;185788045;2
2048;180800375;2
2048;181862590;2
2048;171356323;2
2048;172467042;2
2048;174509359;2
2048;176900513;2
2560;183283814;2
2560;173999064;2
2560;181518799;2
2560;182362752;2
2560;182550171;2
2560;181526327;2
2560;177282105;2
2560;182010701;2
2560;183880615;2
2560;179452027;2
3072;170809001;2
3072;178767904;2
3072;173470337;2
3072;181661906;2
3072;186506307;2
3072;175236695;2
3072;174764160;2
3072;182092081;2
3072;183361206;2
3072;174545532;2
4096;182614339;2
4096;173903076;2
4096;184294068;2
4096;184317749;2
4096;184998739;2
4096;184280192;2
4096;175844442;2
4096;182219726;2
4096;175816528;2
4096;192286662;2
6144;297991456;2
6144;298517822;2
6144;299385783;2
6144;306967529;2
6144;290673584;2
6144;292355144;2
6144;290343709;2
6144;284461915;2
6144;300607218;2
6144;302309286;2
8192;343806926;2
8192;338275879;2
8192;330845256;2
8192;336915364;2
8192;336053711;2
8192;334467611;2
8192;331878581;2
8192;331325440;2
8192;328861775;2
8192;327099121;2
10240;375375163;2
10240;395536459;2
10240;375577515;2
10240;366795329;2
10240;364719117;2
10240;369884196;2
10240;353616536;2
10240;367644288;2
10240;366559733;2
10240;365720744;2
12288;382004476;2
12288;374728190;2
12288;377280884;2
12288;379435914;2
12288;367070679;2
12288;387007446;2
12288;452891398;2
12288;384558228;2
12288;379842977;2
12288;398796305;2
16384;625748210;2
16384;550227092;2
16384;512420614;2
16384;551447063;2
16384;619036865;2
16384;567533529;2
16384;538015951;2
16384;602366780;2
16384;531857829;2
16384;500141358;2
24576;870049724;2
24576;865993775;2
24576;815264120;2
24576;887257040;2
24576;887464966;2
24576;864269654;2
24576;912155925;2
24576;886648316;2
24576;854020997;2
24576;895145264;2
32768;1210901652;2
32768;1191900106;2
32768;1212667643;2
32768;1189147543;2
32768;1168554973;2
32768;1199152751;2
32768;1185505168;2
32768;1176382081;2
32768;1183903443;2
32768;1159244833;2
49152;1592602988;2
49152;1574282838;2
49152;1604158204;2
49152;1679816203;2
49152;1591473267;2
49152;1611025677;2
49152;1608215129;2
49152;1615461630;2
49152;1589713868;2
49152;1610846762;2
65536;1817535117;2
65536;1822220419;2
65536;1840297812;2
65536;1795370200;2
65536;1776506999;2
65536;1796917197;2
65536;1834441692;2
65536;1800334555;2
65536;1871277263;2
65536;1816530559;2
98304;1971009766;2
98304;2028057985;2
98304;1972061320;2
98304;1964257040;2
98304;1953272747;2
98304;1975697389;2
98304;1972767051;2
98304;1960286663;2
