len;duration;threads
12288;445764445;1
12288;392874146;1
12288;388632081;1
12288;446330607;1
12288;386252279;1
12288;382345948;1
12288;392897013;1
12288;471769979;1
12288;417334839;1
16384;621745687;1
16384;588513632;1
16384;576355469;1
16384;581040772;1
16384;574563681;1
16384;652373047;1
16384;552782796;1
16384;523296794;1
16384;587727906;1
16384;565211385;1
24576;862279379;1
24576;832773519;1
24576;844873902;1
24576;807485922;1
24576;820354005;1
24576;824849854;1
24576;809972982;1
24576;809344483;1
24576;822614218;1
24576;801539307;1
32768;1082159709;1
32768;1137846721;1
32768;1136368164;1
32768;1084006999;1
32768;1129066122;1
32768;1141306479;1
32768;1125596843;1
32768;1103081422;1
32768;1124807332;1
32768;1116592814;1
49152;1515346925;1
49152;1515291424;1
49152;1505352825;1
49152;1500661296;1
49152;1478652263;1
49152;1490049846;1
49152;1494652751;1
49152;1525674358;1
49152;1497002564;1
49152;1502453696;1
65536;1704854982;1
65536;1722564494;1
65536;1674112753;1
65536;1723282106;1
65536;1740850261;1
65536;1710460898;1
65536;1698879030;1
65536;1722347494;1
65536;1669860555;1
65536;1714996501;1
98304;1872099813;1
98304;1876637981;1
98304;1857288493;1
98304;1871368979;1
98304;1894036175;1
98304;1886301799;1
98304;1890983155;1
98304;1918652263;1
98304;1902228191;1
98304;1889321006;1
131072;1977957887;1
131072;2024736044;1
131072;2020474285;1
131072;1982380738;1
131072;2008265667;1
131072;2042012330;1
131072;1990265952;1
131072;2012436158;1
131072;1997142050;1
131072;2014670207;1
196608;2199903199;1
196608;2208746339;1
196608;2318566652;1
196608;2200756430;1
196608;2261641196;1
196608;2193856731;1
196608;2227744996;1
196608;2280197308;1
196608;2229447185;1
196608;2236150311;1
262144;3132479860;1
262144;2506778607;1
262144;3039414959;1
262144;2600278403;1
262144;2946054038;1
262144;2519037110;1
262144;3001033448;1
262144;2820250449;1
262144;2670831463;1
262144;2658864096;1
524288;5707435672;1
524288;5153186037;1
524288;5041117515;1
524288;5283699262;1
524288;4668002809;1
524288;4694456545;1
524288;4242351971;1
524288;4615979820;1
524288;4561469485;1
524288;4691193484;1
786432;9402828211;1
